Age,AnnualIncome,Gender,MembershipDuration,Location
47,53965.65,Male,2,Urban
58,21686.26,Male,4,Rural
32,71287.3,Female,2,Urban
52,60950.25,Female,7,Suburban
24,80339.28,Male,2,Rural
64,85547.84,Male,1,Suburban
65,35662.45,Male,3,Urban
23,71725.95,Female,6,Rural
30,15000.0,Female,4,Suburban
20,74738.45,Male,4,Urban
30,79342.93,Male,8,Urban
28,36625.89,Female,9,Urban
43,71668.96,Male,7,Suburban
28,97228.77,Male,9,Rural
52,49552.46,Female,4,Rural
58,59992.63,Male,3,Urban
61,86729.63,Male,5,Urban
27,127038.36,Male,2,Urban
43,63292.92,Male,7,Urban
55,57650.96,Male,1,Rural
31,57374.75,Female,6,Suburban
32,98262.34,Female,4,Rural
61,62130.22,Female,2,Rural
48,54211.9,Male,1,Urban
25,51258.83,Male,5,Rural
29,32290.93,Male,7,Urban
66,87743.17,Female,3,Urban
63,117517.66,Female,5,Suburban
25,63887.31,Female,7,Urban
35,75835.26,Female,8,Suburban
69,45873.58,Female,3,Urban
30,72846.39,Female,2,Suburban
31,82718.93,Male,8,Urban
48,83583.57,Male,7,Rural
36,30579.48,Male,5,Rural
48,24684.1,Male,9,Rural
29,72752.13,Male,8,Rural
20,81368.32,Male,9,Urban
20,60052.37,Male,7,Suburban
69,15000.0,Female,4,Urban
51,39899.74,Male,3,Suburban
45,45410.6,Female,7,Rural
25,15645.63,Male,8,Rural
63,37004.29,Female,3,Urban
54,69161.1,Female,6,Suburban
49,66558.04,Female,9,Urban
46,92158.41,Male,8,Urban
55,73427.05,Female,2,Urban
48,17827.81,Male,5,Urban
51,98113.42,Male,5,Urban
57,73322.63,Male,7,Suburban
31,92437.05,Male,4,Urban
53,52569.89,Male,5,Rural
70,84333.37,Female,6,Urban
30,95632.91,Male,3,Urban
40,42939.25,Female,1,Urban
65,27446.88,Male,6,Suburban
69,60756.75,Female,2,Suburban
50,90292.67,Female,5,Urban
43,34397.23,Male,2,Urban
38,46081.3,Female,9,Urban
58,76181.5,Male,6,Suburban
36,59839.12,Male,3,Suburban
35,87375.76,Male,7,Suburban
28,100084.43,Male,8,Suburban
52,34008.87,Male,3,Urban
54,82532.94,Female,3,Rural
36,45872.13,Female,4,Suburban
43,45584.97,Female,2,Suburban
58,15000.0,Male,9,Urban
68,57757.69,Female,8,Urban
31,37728.75,Male,3,Rural
49,49560.47,Female,3,Rural
29,41973.34,Female,9,Urban
49,74919.85,Female,4,Suburban
52,86210.53,Female,6,Suburban
33,37840.91,Male,6,Rural
49,65225.78,Female,6,Rural
41,75019.84,Male,5,Suburban
60,78231.12,Male,9,Urban
69,73329.08,Male,1,Rural
54,72272.01,Female,8,Suburban
58,93714.37,Male,9,Urban
69,111313.38,Male,4,Urban
31,63051.81,Female,5,Suburban
47,46627.06,Female,6,Suburban
24,27540.86,Male,3,Suburban
32,37482.37,Female,1,Urban
61,43997.86,Male,3,Rural
48,50926.55,Female,3,Rural
51,20584.92,Male,8,Urban
69,15000.0,Female,9,Urban
49,88193.57,Female,8,Suburban
65,106333.25,Male,6,Rural
52,59752.3,Male,7,Suburban
34,76001.35,Male,3,Urban
23,63617.04,Male,5,Rural
37,51197.32,Female,1,Urban
58,74625.18,Female,3,Rural
68,15000.0,Male,1,Suburban
23,50250.97,Female,1,Rural
57,37536.21,Male,6,Urban
59,45621.6,Female,7,Suburban
52,83615.15,Male,8,Rural
34,84566.44,Female,5,Rural
35,45902.33,Female,4,Suburban
58,91932.05,Male,4,Rural
53,55252.64,Male,1,Rural
42,46614.47,Female,5,Urban
34,32175.88,Male,7,Rural
36,91755.81,Female,6,Urban
30,48056.64,Female,2,Urban
69,20028.56,Female,6,Suburban
66,41570.76,Female,7,Rural
28,47644.43,Female,8,Urban
47,76283.88,Male,8,Urban
39,88100.75,Male,4,Urban
68,38993.09,Female,3,Suburban
51,51178.6,Female,7,Urban
68,51610.57,Male,8,Rural
37,93094.4,Female,2,Suburban
65,63605.03,Male,8,Urban
40,79962.18,Female,1,Suburban
32,50338.42,Female,5,Suburban
68,72480.33,Female,5,Suburban
67,44784.41,Male,8,Urban
64,91363.15,Female,9,Rural
45,55735.67,Male,2,Urban
20,93397.12,Male,4,Suburban
27,58570.12,Female,2,Urban
34,54335.48,Female,2,Suburban
58,36556.71,Female,5,Rural
43,75956.6,Male,5,Urban
37,38666.36,Female,5,Urban
46,103265.89,Male,2,Urban
32,104470.39,Male,5,Urban
35,103476.39,Male,4,Urban
21,15000.0,Male,2,Urban
62,82898.48,Female,9,Urban
20,39154.48,Female,4,Suburban
54,37888.34,Male,7,Rural
22,64411.95,Female,7,Suburban
36,67879.95,Female,1,Urban
44,33914.61,Male,7,Urban
69,49499.77,Female,3,Suburban
60,63624.46,Female,1,Rural
55,62001.15,Female,3,Rural
56,52421.07,Female,4,Urban
31,100248.9,Male,7,Rural
51,40803.86,Male,7,Urban
24,113391.61,Male,6,Rural
25,66272.77,Female,6,Rural
33,59961.33,Male,2,Urban
26,34510.47,Female,3,Urban
64,55054.83,Female,9,Suburban
24,15000.0,Female,9,Suburban
39,50448.76,Male,6,Urban
58,15000.0,Male,5,Rural
70,64422.89,Male,7,Urban
27,103335.25,Female,1,Urban
63,45921.03,Male,7,Suburban
31,84155.8,Female,6,Suburban
51,84239.63,Male,1,Urban
47,60549.89,Female,6,Urban
42,67786.71,Female,5,Rural
46,15000.0,Female,7,Suburban
31,31320.54,Female,1,Suburban
22,58990.21,Female,4,Rural
32,58557.72,Female,9,Suburban
50,95184.69,Male,9,Rural
65,40255.09,Female,3,Suburban
66,87210.06,Male,2,Rural
64,71324.15,Male,6,Rural
67,53488.09,Female,8,Rural
63,88180.82,Male,5,Rural
70,95547.41,Female,7,Urban
66,48942.16,Female,7,Rural
40,16391.32,Female,5,Urban
32,99648.9,Male,8,Urban
46,102293.76,Female,8,Rural
41,74400.51,Female,7,Suburban
34,78420.02,Male,4,Rural
65,75992.25,Male,2,Rural
37,62691.85,Male,6,Suburban
68,76201.64,Female,4,Rural
66,85416.31,Female,5,Suburban
57,49348.13,Female,4,Rural
29,103035.12,Male,9,Suburban
61,67544.78,Male,9,Suburban
38,45523.68,Female,9,Urban
46,41564.51,Female,2,Suburban
56,64935.17,Male,3,Rural
35,32827.21,Male,2,Urban
45,69045.66,Female,4,Suburban
27,84663.15,Male,6,Urban
31,61816.06,Male,3,Suburban
45,63832.14,Female,9,Rural
61,100622.88,Male,8,Rural
30,122661.09,Male,6,Rural
49,70373.61,Female,1,Suburban
20,73397.36,Female,2,Rural
45,56933.2,Female,5,Urban
49,74269.73,Female,8,Urban
56,40834.38,Male,3,Rural
43,94295.91,Male,6,Suburban
45,54444.6,Female,6,Urban
41,112049.57,Male,6,Rural
69,60509.62,Male,9,Rural
24,95000.72,Female,4,Suburban
65,65271.55,Female,6,Suburban
69,52328.49,Female,7,Urban
49,103425.41,Male,8,Urban
57,47857.59,Female,6,Urban
20,18005.07,Male,8,Urban
21,81715.66,Female,5,Rural
25,80828.94,Female,7,Suburban
29,54169.81,Female,3,Urban
39,66632.81,Female,2,Rural
69,112809.89,Female,1,Rural
56,56293.38,Female,8,Urban
21,76180.38,Female,5,Rural
48,36227.38,Female,2,Rural
41,49560.96,Male,1,Urban
24,64946.73,Female,9,Urban
36,78301.94,Male,8,Urban
26,62494.94,Female,6,Urban
37,97349.11,Female,5,Rural
68,24356.61,Female,7,Urban
45,15406.72,Female,2,Rural
36,49632.77,Female,7,Rural
57,15000.0,Female,9,Suburban
20,70301.34,Female,8,Suburban
50,77914.02,Female,1,Suburban
39,74327.42,Male,5,Rural
65,99686.31,Female,1,Rural
60,50619.01,Female,4,Urban
69,59923.45,Male,2,Rural
31,56168.91,Female,5,Rural
65,47672.12,Male,1,Urban
31,100991.75,Male,8,Rural
29,32861.16,Female,1,Urban
34,81524.94,Female,1,Urban
33,64767.03,Male,6,Urban
67,89263.37,Male,8,Suburban
29,87725.36,Female,8,Suburban
56,84664.86,Female,8,Rural
53,33212.76,Female,2,Urban
57,45208.5,Female,4,Suburban
48,56653.56,Male,8,Rural
31,91284.65,Female,8,Urban
40,40447.11,Female,3,Rural
40,54846.52,Male,3,Rural
48,15000.0,Female,9,Urban
59,102989.5,Male,6,Urban
55,21399.11,Female,1,Urban
61,38029.01,Female,8,Urban
45,39539.19,Male,9,Urban
37,65936.43,Male,3,Urban
57,43383.44,Female,3,Suburban
44,64376.28,Female,3,Rural
47,54948.75,Female,8,Urban
47,75319.44,Male,8,Suburban
54,100869.44,Female,5,Rural
70,72135.5,Male,3,Rural
23,40445.27,Female,1,Rural
63,32460.75,Female,9,Rural
25,28130.86,Female,8,Suburban
31,66485.33,Female,1,Rural
53,43380.03,Female,6,Rural
67,54596.71,Male,2,Urban
65,78236.94,Female,4,Rural
33,40633.55,Female,6,Urban
60,89164.08,Male,4,Urban
23,15000.0,Female,9,Urban
65,49592.45,Male,7,Suburban
65,51891.18,Male,9,Rural
31,73549.97,Male,1,Rural
51,62785.22,Male,9,Urban
56,45695.51,Male,9,Urban
20,80577.67,Male,4,Urban
39,77604.81,Female,5,Suburban
25,63247.74,Male,4,Rural
67,81348.67,Male,8,Rural
40,98832.07,Female,4,Suburban
21,74007.7,Female,8,Rural
46,48455.3,Male,8,Urban
65,77464.86,Male,9,Urban
21,73602.48,Female,1,Urban
24,46292.06,Female,4,Urban
35,42448.08,Female,2,Rural
25,74935.68,Male,8,Rural
68,79911.22,Male,1,Urban
60,21360.18,Male,6,Rural
42,81830.26,Male,4,Suburban
39,65414.95,Male,4,Urban
61,76505.58,Female,1,Rural
42,62931.2,Male,8,Rural
55,113584.55,Male,1,Urban
62,73200.79,Female,8,Urban
60,84067.02,Female,7,Rural
66,49852.29,Female,1,Rural
26,47983.94,Male,9,Suburban
38,79025.36,Male,1,Rural
24,67769.85,Male,6,Urban
28,57635.32,Male,4,Suburban
54,66070.55,Female,4,Suburban
23,57779.09,Male,9,Urban
48,86149.73,Female,7,Suburban
62,60935.36,Female,5,Rural
23,75175.65,Female,4,Urban
56,84036.17,Male,7,Urban
45,46894.75,Female,6,Suburban
23,81675.13,Male,5,Rural
25,129951.65,Female,4,Urban
64,36444.96,Female,2,Suburban
50,46752.3,Male,7,Urban
54,65436.97,Female,7,Rural
45,115453.26,Male,6,Suburban
48,83413.2,Female,9,Suburban
68,39401.74,Female,5,Rural
33,94968.54,Male,9,Rural
67,91812.45,Female,5,Suburban
63,86578.92,Male,2,Suburban
50,80310.5,Male,5,Urban
54,15000.0,Male,6,Urban
25,50262.66,Female,7,Urban
28,45958.05,Female,6,Rural
36,77472.34,Male,9,Suburban
45,85036.43,Male,2,Suburban
70,47575.79,Female,4,Urban
43,102482.27,Male,1,Urban
62,55771.57,Male,7,Urban
31,41660.6,Female,5,Rural
36,44925.34,Male,3,Urban
20,61196.42,Female,8,Rural
33,67731.21,Male,1,Urban
44,66657.93,Male,3,Suburban
65,69843.66,Male,1,Rural
58,68032.88,Male,7,Urban
51,74910.71,Male,5,Rural
63,80286.72,Male,5,Rural
69,31669.89,Female,4,Rural
45,65098.8,Male,4,Suburban
50,47596.09,Male,7,Rural
35,100898.19,Male,5,Suburban
27,73150.27,Male,7,Suburban
63,82339.12,Female,1,Rural
49,53249.89,Male,8,Rural
49,80484.39,Male,6,Rural
64,77389.33,Male,6,Suburban
56,60526.8,Male,3,Urban
30,79647.23,Female,3,Urban
22,20091.28,Female,1,Rural
29,47422.02,Female,2,Urban
44,53781.38,Male,3,Urban
56,66274.21,Female,1,Rural
38,80693.16,Male,1,Rural
70,29736.06,Male,1,Urban
64,28556.85,Female,1,Suburban
56,50222.58,Male,7,Urban
25,43734.86,Male,6,Urban
68,87774.1,Male,7,Urban
45,88714.11,Female,5,Suburban
65,38470.97,Male,9,Rural
54,82273.16,Male,6,Suburban
47,15000.0,Male,9,Rural
46,33393.17,Female,4,Suburban
37,91399.87,Female,5,Rural
36,83609.28,Female,2,Suburban
20,77810.77,Female,6,Rural
46,44663.13,Male,5,Rural
67,37641.78,Female,2,Rural
24,75516.49,Female,9,Suburban
68,43713.55,Female,2,Rural
49,67631.88,Female,7,Urban
62,51566.03,Male,4,Urban
47,56605.52,Female,9,Suburban
67,44130.44,Male,6,Suburban
28,60970.47,Female,7,Rural
22,15000.0,Female,3,Rural
55,54126.71,Female,6,Suburban
23,73348.86,Female,2,Rural
48,22826.58,Female,4,Urban
21,48741.16,Male,1,Rural
42,54712.97,Male,5,Suburban
69,65011.29,Female,9,Urban
55,37681.79,Male,8,Rural
43,51999.37,Female,3,Urban
47,80641.28,Male,4,Urban
59,110448.16,Female,4,Rural
54,92699.31,Female,1,Urban
39,53488.67,Female,4,Rural
48,46294.04,Male,5,Urban
35,48075.55,Male,1,Urban
42,63385.33,Female,4,Urban
50,43098.08,Male,4,Suburban
41,28808.53,Female,7,Urban
70,85448.81,Female,3,Rural
53,103345.44,Female,7,Urban
31,34649.41,Female,9,Rural
60,74998.24,Male,3,Rural
30,81236.89,Male,4,Urban
45,28138.9,Male,5,Urban
61,70017.44,Male,1,Rural
59,47152.41,Female,5,Rural
33,15000.0,Female,7,Urban
41,75191.91,Female,9,Rural
28,57994.2,Male,8,Suburban
50,58535.57,Female,8,Urban
31,17526.05,Male,9,Urban
70,64487.41,Female,8,Rural
36,59434.47,Male,5,Rural
25,45239.08,Male,9,Urban
29,65293.36,Female,2,Urban
64,108950.28,Female,2,Suburban
32,55023.64,Male,1,Rural
24,51000.04,Male,4,Suburban
36,40716.82,Female,8,Urban
39,100940.76,Male,1,Urban
46,73557.62,Female,3,Rural
46,65629.51,Female,4,Rural
30,28095.14,Male,1,Rural
46,51049.8,Female,9,Suburban
69,89056.24,Male,5,Urban
58,70471.56,Female,6,Suburban
50,82127.89,Male,7,Urban
31,102711.53,Male,1,Rural
44,64413.28,Female,6,Rural
27,64163.92,Male,5,Rural
34,46170.37,Female,9,Rural
44,33924.43,Female,1,Rural
60,55851.0,Male,1,Rural
41,75874.1,Male,1,Suburban
55,66009.42,Male,1,Rural
25,69438.72,Female,3,Suburban
30,48926.24,Male,3,Urban
40,86674.16,Female,6,Urban
47,72083.44,Male,3,Urban
31,33057.59,Female,5,Rural
60,53641.31,Male,9,Suburban
31,56734.94,Female,1,Suburban
38,101471.76,Male,6,Suburban
37,72872.53,Male,7,Rural
22,61218.36,Female,6,Urban
33,72740.41,Female,2,Rural
49,105875.09,Male,2,Suburban
39,27664.72,Female,5,Urban
41,81003.38,Male,2,Urban
39,42443.23,Male,2,Rural
22,25211.9,Female,8,Urban
20,101498.91,Male,5,Urban
20,58894.88,Female,1,Suburban
65,49948.52,Female,5,Urban
26,79608.97,Female,3,Suburban
57,84039.03,Male,2,Urban
37,111741.84,Male,4,Rural
69,62748.64,Female,4,Urban
45,38674.87,Female,9,Rural
50,87992.36,Female,5,Rural
68,39051.98,Female,3,Urban
46,71886.17,Male,3,Rural
65,76911.95,Female,5,Urban
20,77118.14,Female,2,Urban
20,32925.85,Male,9,Urban
21,51577.91,Female,1,Rural
26,67435.88,Male,2,Rural
54,71893.17,Female,2,Urban
63,58493.05,Male,2,Rural
59,85224.09,Male,8,Urban
25,61440.74,Female,5,Urban
45,47378.31,Female,2,Rural
57,49678.53,Male,6,Urban
48,23355.49,Female,5,Rural
45,64914.94,Female,7,Suburban
46,48982.95,Male,8,Urban
43,91235.68,Male,6,Urban
26,63945.99,Male,8,Urban
53,51960.07,Male,5,Rural
61,88042.89,Male,1,Rural
37,100124.98,Male,2,Urban
69,61941.56,Female,7,Rural
53,58835.66,Female,7,Suburban
59,52662.94,Male,2,Urban
62,34807.72,Male,4,Urban
39,45170.63,Male,7,Urban
50,99939.49,Male,9,Suburban
21,15000.0,Male,1,Rural
54,97306.28,Male,4,Rural
59,109758.05,Female,5,Urban
61,36273.57,Male,5,Rural
24,67569.5,Female,5,Suburban
35,67289.29,Male,7,Rural
25,76472.43,Female,2,Suburban
65,33428.53,Female,4,Urban
20,68935.05,Female,2,Suburban
36,110271.19,Male,6,Urban
39,60870.56,Male,8,Urban
28,64224.16,Male,8,Rural
65,57656.73,Female,5,Rural
60,73183.04,Male,1,Rural
52,78948.04,Male,7,Urban
27,63994.3,Male,5,Urban
35,81134.35,Male,2,Rural
63,64808.28,Male,2,Suburban
33,51575.1,Female,9,Suburban
34,84809.45,Female,4,Rural
50,30953.32,Female,5,Suburban
21,58607.48,Male,2,Urban
38,70764.76,Male,9,Rural
70,74657.08,Male,3,Rural
54,60406.59,Female,8,Urban
62,129026.13,Male,9,Urban
28,87294.16,Male,8,Rural
36,83475.17,Female,3,Rural
41,66262.7,Female,3,Urban
31,34571.47,Female,3,Suburban
60,110550.59,Female,2,Urban
62,76705.38,Female,6,Suburban
29,15000.0,Male,4,Rural
32,60917.52,Female,6,Rural
46,77901.82,Male,9,Rural
34,85224.47,Male,7,Suburban
32,85314.56,Female,3,Rural
60,61691.7,Male,9,Rural
30,15000.0,Female,3,Urban
61,33892.37,Male,4,Suburban
44,81261.72,Female,3,Urban
20,47381.74,Male,6,Suburban
40,71471.01,Female,7,Rural
24,94509.1,Female,1,Suburban
49,34944.88,Male,6,Urban
23,58985.47,Male,5,Suburban
26,76467.93,Female,7,Rural
31,45286.32,Male,7,Rural
36,72058.26,Male,2,Urban
70,15000.0,Male,9,Urban
66,62045.79,Female,8,Urban
46,57087.68,Female,8,Rural
54,43199.97,Male,9,Urban
53,68776.23,Male,7,Urban
33,51721.99,Female,2,Rural
62,62730.75,Male,6,Rural
27,96080.16,Male,3,Urban
29,56938.02,Male,8,Rural
47,52911.89,Female,2,Urban
64,101992.2,Female,5,Urban
68,57672.74,Male,5,Urban
63,106306.47,Female,1,Urban
40,69736.83,Male,5,Rural
